_RAJ2000,_DEJ2000,SDSS,S_N,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E_B-V_,pm
8.2812,-0.7926,003310.58-004818.55,13,20.645,0.055,19.679,0.022,19.555,0.034,19.549,0.030,19.490,0.063,0.021,1.900
40.0070,0.3572,024002.92+002050.50,17,20.330,0.050,19.470,0.020,19.310,0.020,19.240,0.020,19.360,0.060,0.030,0.000
114.8989,37.7119,073929.46+374511.15,15,20.356,0.050,19.714,0.020,19.453,0.019,19.333,0.020,19.326,0.057,0.064,9.700
114.4005,39.4812,073738.58+392944.34,13,21.187,0.085,20.017,0.020,19.920,0.022,19.964,0.029,19.935,0.097,0.052,2.600
126.4454,38.9211,082543.50+385609.99,15,20.062,0.040,19.488,0.019,19.276,0.020,19.247,0.021,19.196,0.043,0.043,49.100
139.2422,-2.1377,091650.95-021042.78,16,19.969,0.045,19.478,0.018,19.396,0.019,19.434,0.026,19.493,0.089,0.041,24.400
186.3572,-1.5968,122526.86-013749.49,13,20.892,0.069,19.963,0.021,19.881,0.023,19.860,0.033,19.990,0.116,0.029,5.800
166.2095,0.5379,110440.66+003058.21,14,20.581,0.074,19.540,0.021,19.337,0.021,19.363,0.022,19.309,0.050,0.047,5.500
177.6450,0.0208,115044.45+000244.30,11,20.600,0.070,19.560,0.030,19.530,0.020,19.540,0.020,19.630,0.060,0.019,0.000
227.7662,27.6001,151116.46+273601.59,13,20.921,0.073,19.802,0.036,19.680,0.019,19.672,0.019,19.596,0.067,0.035,6.000
219.8233,29.8548,143905.15+295135.97,12,20.217,0.045,19.286,0.020,19.234,0.020,19.236,0.022,19.347,0.054,0.013,5.700
226.8324,29.4608,150729.46+292732.51,11,21.100,0.074,20.067,0.024,20.024,0.026,20.033,0.029,19.973,0.088,0.025,1.800
233.9860,24.2979,153557.20+241741.65,13,20.356,0.046,19.780,0.019,19.488,0.018,19.386,0.021,19.288,0.057,0.050,32.100
340.8762,-1.5786,224326.16-013516.87,15,20.668,0.061,19.515,0.026,19.352,0.021,19.389,0.022,19.310,0.051,0.061,7.000
2.0018,-2.8591,000758.17-024941.85,20,19.408,0.031,18.938,0.018,18.701,0.018,18.667,0.015,18.646,0.038,0.038,48.500
1.8469,-2.5982,000720.18-023456.03,15,19.472,0.042,19.031,0.019,18.819,0.016,18.783,0.033,18.801,0.039,0.038,0.000
32.1216,-5.8283,020832.20-054928.80,20,19.158,0.032,18.564,0.026,18.306,0.017,18.184,0.019,18.181,0.028,0.022,143.400
338.4687,5.8038,223354.71+054706.61,19,19.226,0.033,19.423,0.021,19.742,0.024,20.056,0.031,20.312,0.132,0.139,2.500
180.0633,40.0319,120015.84+400142.33,13,20.678,0.069,19.636,0.025,19.574,0.024,19.694,0.028,19.615,0.074,0.026,2.000
227.1434,32.7047,150832.77+324212.90,11,20.624,0.049,19.573,0.023,19.496,0.027,19.570,0.026,19.488,0.059,0.020,3.500
144.1467,1.5057,093631.75+012658.81,11,20.978,0.085,19.913,0.023,19.773,0.023,19.719,0.034,19.592,0.095,0.053,11.500
335.9343,12.6045,222352.41+123523.16,11,21.593,0.100,20.585,0.029,20.406,0.027,20.396,0.032,20.157,0.088,0.073,1.300
336.3048,12.9240,222528.28+125441.18,24,18.108,0.016,18.412,0.016,18.807,0.017,19.108,0.023,19.420,0.061,0.080,3.700
336.8537,6.6173,222727.06+063528.39,15,19.703,0.033,19.564,0.026,19.727,0.022,19.892,0.031,20.065,0.111,0.120,15.400
339.6280,7.1395,223824.51+071055.76,25,18.563,0.025,18.863,0.020,19.276,0.016,19.580,0.021,19.805,0.092,0.111,7.800
335.9069,7.7966,222337.28+074438.11,21,18.562,0.023,18.757,0.020,19.163,0.018,19.480,0.023,19.765,0.092,0.111,34.000
27.7999,18.2131,015120.67+181247.94,13,20.395,0.082,19.752,0.027,19.643,0.024,19.717,0.034,19.776,0.116,0.044,20.300
23.3659,16.1879,013326.29+161132.82,12,20.792,0.073,19.892,0.018,19.610,0.035,19.486,0.022,19.378,0.061,0.072,7.600
134.5415,14.1942,085812.50+141345.21,18,19.930,0.039,18.769,0.020,18.653,0.017,18.711,0.020,18.894,0.037,0.042,0.900
144.8050,13.6735,093910.85+134154.10,20,19.458,0.029,18.616,0.027,18.296,0.014,18.184,0.015,18.143,0.025,0.035,47.100
171.3874,8.7270,112536.84+084504.54,20,18.550,0.021,18.714,0.020,19.120,0.019,19.462,0.029,19.562,0.098,0.061,19.600
225.1619,8.9644,150045.94+085753.52,11,21.399,0.107,20.496,0.030,20.475,0.031,20.471,0.042,20.241,0.120,0.035,0.000
229.1553,14.5857,151640.16+143320.58,11,20.700,0.050,19.810,0.020,19.720,0.020,19.730,0.030,19.650,0.070,0.047,0.000
143.8787,56.3131,093515.96+562042.11,38,17.091,0.030,17.517,0.025,18.019,0.025,18.434,0.028,18.632,0.045,0.021,35.200
139.7020,61.3408,091845.56+612215.10,32,17.673,0.019,17.917,0.022,18.316,0.016,18.663,0.021,18.963,0.049,0.029,7.000
143.1610,49.5154,093248.20+492931.26,11,19.880,0.033,19.468,0.026,19.364,0.022,19.320,0.022,19.302,0.051,0.012,16.100
139.3567,48.5766,091725.51+483354.94,23,18.426,0.017,18.731,0.027,19.178,0.027,19.473,0.036,19.716,0.077,0.018,6.000
144.9923,19.0666,094008.22+190354.97,68,16.105,0.015,16.321,0.025,16.778,0.017,17.107,0.015,17.461,0.023,0.024,19.500
138.1722,26.9476,091235.61+265828.45,59,16.071,0.015,16.458,0.017,16.961,0.016,17.347,0.013,17.668,0.019,0.030,32.900
143.9098,21.4660,093537.03+212904.01,12,20.809,0.063,19.833,0.020,19.730,0.021,19.675,0.025,19.568,0.071,0.029,2.200
142.7491,33.6341,093103.31+333947.77,35,16.850,0.023,17.155,0.081,17.667,0.032,17.976,0.020,19.003,0.045,0.016,57.700
207.8651,20.9868,135123.30+205947.82,11,20.633,0.064,19.788,0.031,19.676,0.029,19.558,0.023,19.409,0.067,0.027,6.900
166.3582,18.1221,110514.47+180613.45,14,20.458,0.050,19.587,0.023,19.491,0.019,19.498,0.034,19.426,0.058,0.022,3.400
219.6735,18.0495,143846.97+180322.22,11,20.379,0.049,19.761,0.023,19.510,0.021,19.452,0.023,19.374,0.053,0.033,51.800
220.9610,21.6972,144355.84+214007.24,12,20.320,0.049,19.526,0.025,19.386,0.021,19.277,0.021,19.318,0.064,0.027,2.700
122.8245,54.1237,081117.60+540815.34,13,20.070,0.040,19.550,0.020,19.380,0.020,19.470,0.030,19.400,0.060,0.042,3.690
119.9795,55.2432,080000.38+551554.46,11,21.168,0.099,20.171,0.022,20.129,0.027,20.149,0.037,19.895,0.104,0.044,8.000
333.3403,29.3749,221319.16+292538.96,26,18.983,0.028,18.423,0.012,18.184,0.012,18.147,0.015,18.111,0.029,0.071,148.100
193.3904,26.9659,125331.46+265806.64,23,19.819,0.032,19.327,0.025,19.193,0.016,19.198,0.030,19.224,0.050,0.009,19.700
209.4253,28.0103,135734.71+280111.35,43,16.623,0.024,16.861,0.018,17.332,0.018,17.655,0.011,17.947,0.033,0.015,39.100
241.4476,41.3899,160548.42+412252.19,12,20.496,0.055,19.486,0.020,19.378,0.021,19.329,0.021,19.258,0.060,0.010,2.800
2.5709,16.9556,001010.68+165748.77,14,20.347,0.056,19.755,0.022,19.797,0.020,19.890,0.028,19.803,0.082,0.049,6.000
2.2722,18.8397,000908.05+185006.39,12,20.621,0.080,19.960,0.028,19.831,0.035,19.800,0.036,19.798,0.096,0.047,26.900
2.7480,13.8115,001059.63+134809.13,24,19.032,0.026,18.784,0.015,18.986,0.016,19.236,0.020,19.445,0.064,0.063,23.400
2.2311,13.0688,000849.25+130329.32,11,20.940,0.091,19.712,0.024,19.534,0.022,19.569,0.027,19.543,0.065,0.087,35.000
1.8473,14.5218,000726.59+142903.04,41,17.740,0.017,17.446,0.020,17.724,0.014,17.986,0.016,18.237,0.038,0.094,84.100
3.6793,15.0405,001449.40+150340.35,11,20.201,0.043,19.663,0.018,19.460,0.016,19.387,0.026,19.363,0.063,0.046,77.700
353.3239,21.6366,233316.38+213744.65,11,20.478,0.073,19.759,0.030,19.632,0.022,19.590,0.027,19.723,0.101,0.071,5.500
337.2288,22.3647,222851.16+222148.63,19,18.871,0.021,18.986,0.015,19.378,0.018,19.707,0.027,20.135,0.103,0.038,20.400
338.1170,21.9768,223216.92+215951.28,14,19.173,0.023,19.354,0.017,19.785,0.017,20.062,0.027,20.304,0.117,0.044,21.100
346.8592,21.8974,230732.61+215302.68,11,20.994,0.094,20.176,0.023,19.848,0.022,19.686,0.028,19.568,0.079,0.196,4.300
348.0511,20.6761,231207.75+203849.58,17,19.896,0.044,19.853,0.019,20.091,0.025,20.359,0.041,20.607,0.190,0.176,18.700
358.6250,18.6360,235429.13+183924.53,12,20.538,0.066,20.023,0.024,19.855,0.025,19.856,0.032,20.052,0.121,0.048,32.000
350.3300,17.8446,232127.95+174835.94,22,18.901,0.023,18.719,0.019,19.016,0.014,19.223,0.022,19.401,0.062,0.037,12.300
351.2789,15.8394,232512.08+154751.27,32,17.947,0.023,17.977,0.014,18.370,0.014,18.652,0.018,18.984,0.046,0.032,5.600
351.3039,16.2967,232512.37+161829.14,20,19.402,0.029,18.982,0.018,19.243,0.019,19.476,0.026,19.800,0.090,0.035,51.300
350.6385,15.4180,232230.96+152258.95,25,18.739,0.021,18.596,0.015,18.910,0.014,19.163,0.019,19.505,0.058,0.050,23.500
349.6669,16.7367,231845.88+164612.76,13,19.301,0.030,19.234,0.024,19.507,0.021,19.771,0.033,20.082,0.117,0.040,4.700
353.8003,14.7692,233507.15+144347.00,14,19.508,0.031,19.500,0.018,19.917,0.020,20.145,0.034,20.741,0.218,0.089,27.200
352.8262,16.8697,233109.19+165251.98,12,20.742,0.074,20.200,0.029,20.131,0.033,20.339,0.079,20.274,0.122,0.043,16.800
355.7444,15.8753,234454.63+144257.39,14,19.026,0.024,19.189,0.022,19.552,0.019,19.887,0.027,20.199,0.125,0.040,23.480
354.8315,15.7385,233917.48+154311.72,12,21.732,0.137,21.040,0.036,21.235,0.049,21.451,0.084,21.318,0.236,0.038,0.000
355.3758,16.3809,234126.45+162335.70,14,21.605,0.146,21.095,0.042,21.101,0.050,21.267,0.092,21.226,0.334,0.036,0.000
355.9867,16.0726,234355.38+160534.93,11,22.065,0.193,21.296,0.054,21.442,0.066,21.381,0.086,21.357,0.269,0.048,0.000
359.6756,15.5967,235851.32+153540.08,38,17.342,0.014,17.069,0.015,17.346,0.013,17.585,0.018,17.823,0.025,0.049,77.100
358.2949,15.5938,235315.25+153640.40,24,18.513,0.023,18.197,0.014,18.453,0.016,18.687,0.020,18.853,0.051,0.035,52.400
345.4685,14.6273,230155.17+143601.31,63,16.284,0.017,15.915,0.014,16.123,0.013,16.327,0.019,16.571,0.017,0.103,41.900
345.7021,15.1255,230243.23+150822.24,12,20.564,0.062,19.954,0.023,19.960,0.025,19.908,0.042,19.695,0.093,0.084,36.600
348.1769,14.8120,231246.90+145105.31,18,19.399,0.027,19.095,0.015,19.272,0.018,19.364,0.021,19.509,0.063,0.069,39.600
352.7459,14.4127,233050.01+142652.95,34,17.426,0.022,17.669,0.019,18.069,0.026,18.397,0.075,18.657,0.069,0.048,34.100
351.3124,13.5052,232520.14+132823.31,18,19.399,0.028,19.145,0.020,19.412,0.026,19.616,0.026,19.896,0.073,0.055,6.300
351.6676,15.2434,232642.11+151249.66,21,19.171,0.026,18.830,0.018,19.094,0.021,19.354,0.026,19.564,0.053,0.054,33.700
352.1650,14.5875,232833.29+143423.22,17,19.579,0.030,19.272,0.017,19.464,0.019,19.727,0.026,20.054,0.109,0.065,42.700
352.9953,14.7460,233157.66+144345.75,22,18.423,0.022,18.239,0.011,18.544,0.014,18.762,0.016,19.000,0.053,0.054,31.400
353.8162,13.3510,233751.36+133547.81,47,15.925,0.015,16.295,0.021,16.714,0.017,17.026,0.020,17.303,0.020,0.083,39.510
357.4140,13.5997,234943.43+133813.71,40,17.330,0.022,17.058,0.016,17.311,0.018,17.503,0.019,17.750,0.023,0.040,26.700
351.9963,12.0491,232758.96+120544.36,19,19.147,0.029,19.081,0.025,19.344,0.018,19.623,0.030,19.805,0.095,0.063,5.800
353.7839,14.1051,233501.22+140705.61,30,17.986,0.020,18.027,0.019,18.324,0.014,18.607,0.020,18.830,0.039,0.086,30.200
355.5486,12.7788,234208.24+124816.49,33,18.506,0.023,18.191,0.033,18.396,0.022,18.617,0.017,18.904,0.047,0.052,22.600
358.7599,6.5084,235452.51+063204.90,44,17.558,0.023,17.242,0.018,17.431,0.013,17.647,0.020,17.877,0.024,0.067,25.300
357.9187,7.1426,235137.53+070810.11,18,19.586,0.030,19.400,0.023,19.573,0.017,19.799,0.032,20.011,0.070,0.099,34.300
357.3680,7.3484,234919.73+072310.62,14,20.216,0.050,19.797,0.022,19.919,0.025,20.053,0.033,20.291,0.139,0.153,44.500
358.3205,7.9487,235319.28+075526.47,17,19.597,0.032,19.400,0.032,19.661,0.018,19.875,0.024,20.125,0.074,0.063,20.400
345.9658,10.2756,230347.66+101749.97,16,19.928,0.043,19.388,0.017,19.325,0.017,19.323,0.025,19.410,0.053,0.056,23.100
349.4347,11.2464,231741.59+111421.43,13,19.725,0.060,19.188,0.026,19.085,0.018,19.045,0.023,19.079,0.072,0.044,71.440
351.8385,11.2936,232723.11+111704.33,22,19.086,0.024,18.939,0.024,19.194,0.031,19.482,0.025,19.720,0.092,0.059,13.800
353.7429,11.2215,233450.40+111445.34,14,19.820,0.037,19.523,0.021,19.717,0.019,19.969,0.029,20.074,0.104,0.092,11.600
356.9378,8.0364,234746.26+080003.91,31,18.548,0.021,18.460,0.016,18.747,0.024,18.964,0.022,19.207,0.039,0.118,2.800
356.6224,8.4465,234635.06+082756.75,33,18.500,0.023,18.063,0.017,18.183,0.014,18.389,0.013,18.566,0.031,0.137,66.200
356.5226,6.9823,234611.52+065910.65,27,18.836,0.025,18.547,0.018,18.710,0.015,18.928,0.017,19.186,0.055,0.168,15.200
354.9145,6.2215,233933.43+061245.58,22,18.610,0.024,18.900,0.019,19.420,0.017,19.761,0.025,19.875,0.067,0.109,5.750
355.6930,7.5955,234246.09+073243.25,21,19.156,0.025,19.241,0.023,19.481,0.022,19.741,0.025,19.907,0.073,0.163,19.200
349.5944,8.1913,231827.19+081155.36,16,19.485,0.032,19.261,0.022,19.486,0.022,19.722,0.028,19.845,0.076,0.074,44.400
348.8785,9.9873,231531.74+100029.66,14,20.151,0.050,19.558,0.016,19.483,0.024,19.473,0.024,19.496,0.072,0.050,34.980
352.5115,10.1722,233005.10+100818.14,12,20.214,0.059,19.707,0.016,19.532,0.021,19.472,0.022,19.571,0.077,0.083,53.450
354.0665,9.4877,233624.89+092853.55,22,18.947,0.023,18.916,0.017,19.191,0.017,19.508,0.028,19.580,0.068,0.098,17.200
354.4587,9.8951,233743.59+095418.47,25,18.799,0.027,18.392,0.155,18.296,0.172,18.286,0.174,19.108,0.051,0.130,93.400
354.0795,7.0335,233626.08+070053.33,13,18.913,0.021,19.209,0.026,19.596,0.021,19.872,0.029,20.097,0.076,0.099,19.200
351.6837,6.5215,232641.16+063116.23,24,19.157,0.025,18.781,0.021,18.776,0.017,18.828,0.016,18.981,0.036,0.086,23.300
352.7713,7.5912,233059.59+073512.86,29,18.828,0.027,18.478,0.017,18.715,0.014,18.907,0.017,19.134,0.056,0.077,32.600
348.4051,6.5952,231340.86+063527.41,27,18.921,0.024,18.516,0.013,18.713,0.018,18.876,0.019,19.098,0.049,0.098,46.500
350.3398,7.1195,232122.18+070832.06,15,19.727,0.036,19.311,0.018,19.316,0.017,19.400,0.021,19.411,0.064,0.100,54.400
351.0370,8.0001,232409.52+080226.29,21,18.952,0.036,18.845,0.024,19.137,0.019,19.334,0.020,19.508,0.069,0.090,15.200
3.2092,20.3606,001249.25+202112.03,11,20.324,0.069,19.716,0.021,19.744,0.025,19.870,0.037,19.771,0.128,0.034,43.200
359.9149,14.8307,235938.68+144841.91,11,22.402,0.349,20.879,0.081,20.577,0.061,20.389,0.053,20.595,0.256,0.041,0.000
2.5709,16.9556,001010.56+165755.93,26,18.806,0.027,18.371,0.019,18.478,0.014,18.572,0.016,18.755,0.043,0.048,144.900
1.4644,16.8017,000558.76+164949.35,12,20.250,0.070,19.761,0.027,19.713,0.024,19.726,0.031,19.656,0.076,0.064,41.970
1.0468,15.5588,000416.58+153146.42,57,16.639,0.015,16.762,0.014,17.138,0.013,17.443,0.019,17.730,0.020,0.057,87.400
1.3795,15.4374,000522.63+152706.52,41,17.949,0.016,17.644,0.009,17.917,0.019,18.123,0.015,18.340,0.031,0.066,25.200
5.6956,13.7849,002251.43+135010.42,11,20.805,0.062,20.070,0.026,19.996,0.028,20.025,0.033,19.841,0.089,0.065,8.000
4.9190,13.8531,001942.21+135141.47,20,19.490,0.029,19.245,0.024,19.511,0.017,19.781,0.035,20.058,0.111,0.066,4.400
5.5403,15.4836,002203.59+152907.93,28,17.936,0.015,18.317,0.018,18.804,0.013,19.149,0.024,19.548,0.093,0.047,19.700
5.6443,15.2976,002227.80+151920.75,52,16.780,0.019,17.060,0.014,17.501,0.012,17.844,0.011,18.199,0.030,0.065,12.700
7.7228,11.9550,003053.23+115509.62,11,20.294,0.052,19.902,0.025,19.796,0.021,19.791,0.028,19.797,0.086,0.066,42.500
7.4284,14.7411,002945.75+144214.54,31,18.590,0.018,18.147,0.017,18.254,0.014,18.455,0.019,18.637,0.034,0.077,34.200
10.3465,17.2048,004123.93+171143.71,14,20.499,0.065,19.911,0.031,19.613,0.022,19.582,0.026,19.680,0.105,0.061,73.600
12.1655,17.9667,004838.15+175612.30,15,20.571,0.072,19.921,0.029,20.001,0.051,19.979,0.059,20.150,0.149,0.067,0.000
13.7816,13.7620,005504.94+134400.89,24,19.130,0.027,18.922,0.019,19.216,0.017,19.450,0.023,19.612,0.074,0.073,9.900
10.3099,29.9196,004111.73+295313.54,25,18.830,0.032,18.454,0.017,18.594,0.014,18.859,0.022,19.033,0.075,0.057,30.300
15.6377,28.3077,010229.29+281739.40,12,20.320,0.063,19.764,0.021,19.422,0.023,19.360,0.025,19.287,0.072,0.065,0.000
18.2125,28.6360,011258.49+283920.96,11,20.652,0.074,19.935,0.028,19.987,0.023,20.163,0.038,20.657,0.215,0.056,0.000
17.9854,27.4500,011206.93+272743.08,16,18.833,0.024,19.142,0.018,19.553,0.018,19.836,0.025,20.162,0.091,0.051,22.200
20.1951,27.9231,012037.37+275802.78,61,16.276,0.015,16.513,0.009,16.922,0.019,17.252,0.018,17.594,0.027,0.066,64.500
20.3828,28.5057,012129.87+282811.06,42,17.714,0.025,17.575,0.020,17.909,0.017,18.156,0.016,18.437,0.028,0.074,19.800
20.4560,27.7894,012152.22+274848.85,23,18.916,0.020,18.845,0.015,19.154,0.018,19.430,0.021,19.700,0.064,0.071,29.200
19.4882,28.9127,011747.84+285442.87,14,19.582,0.032,19.433,0.016,19.777,0.021,19.986,0.031,20.178,0.100,0.060,18.100
19.1213,29.7570,011626.00+294257.32,24,19.022,0.025,18.825,0.078,19.088,0.516,19.607,2.076,19.845,3.319,0.051,12.600
21.0211,29.4344,012405.16+292808.46,16,19.914,0.031,19.468,0.018,19.595,0.018,19.739,0.024,19.941,0.083,0.133,28.900
25.4689,30.2182,014147.98+301050.75,12,20.309,0.091,19.907,0.028,19.785,0.030,19.774,0.037,19.683,0.135,0.044,34.600
27.6926,30.1414,015037.12+300740.72,14,20.008,0.066,19.564,0.026,19.406,0.022,19.423,0.030,19.388,0.101,0.064,102.600
29.2489,28.7025,015647.87+284134.57,16,19.523,0.038,19.054,0.017,19.244,0.021,19.410,0.028,19.685,0.093,0.066,23.600
4.1293,26.0110,001632.44+255924.05,39,17.673,0.018,17.592,0.017,17.907,0.018,18.179,0.020,18.468,0.036,0.039,57.800
3.5791,26.0259,001419.81+255925.56,19,19.419,0.037,19.169,0.024,19.510,0.021,19.815,0.033,20.058,0.120,0.030,12.100
13.0964,25.6713,005231.66+254227.10,15,19.493,0.030,19.242,0.019,19.533,0.020,19.809,0.024,19.977,0.090,0.041,20.200
3.1664,24.5322,001240.79+243416.60,38,16.831,0.013,16.764,0.012,17.093,0.011,17.363,0.014,17.683,0.022,0.059,55.100
4.2957,25.1236,001712.70+250443.04,26,18.532,0.020,18.280,0.015,18.572,0.013,18.841,0.018,19.059,0.057,0.034,44.800
7.1052,26.0841,002830.37+260255.67,24,18.614,0.022,18.247,0.019,18.491,0.018,18.708,0.016,18.885,0.043,0.035,29.700
6.6258,25.6311,002625.50+253739.54,22,18.208,0.022,18.243,0.017,18.592,0.020,18.843,0.017,19.124,0.046,0.032,21.100
6.1859,25.5810,002437.14+253357.92,26,18.415,0.027,18.346,0.016,18.719,0.019,18.969,0.022,19.245,0.055,0.030,18.000
6.9097,24.1512,002746.77+241206.02,14,19.121,0.029,19.168,0.022,19.598,0.021,19.811,0.027,20.171,0.117,0.030,20.800
8.5126,26.4086,003409.18+262306.00,11,20.441,0.080,19.915,0.024,19.866,0.033,19.815,0.032,19.857,0.109,0.046,12.900
9.4049,27.7716,003727.05+274721.92,11,20.615,0.069,20.138,0.037,19.955,0.027,19.857,0.035,19.831,0.135,0.064,23.410
8.9028,24.0294,003533.74+240253.17,26,18.376,0.026,18.328,0.031,18.706,0.016,18.979,0.020,19.314,0.061,0.031,4.000
12.3022,25.5690,004918.69+253226.52,30,18.242,0.020,18.218,0.014,18.542,0.016,18.821,0.020,19.048,0.048,0.039,35.200
12.3022,25.5690,004913.84+253238.26,16,19.705,0.035,19.326,0.018,19.334,0.021,19.423,0.025,19.449,0.056,0.039,38.500
11.3059,26.3509,004515.42+261832.95,14,20.225,0.057,19.609,0.022,19.469,0.025,19.432,0.027,19.466,0.085,0.053,86.170
12.0881,22.6662,004818.01+223859.72,13,20.186,0.050,19.685,0.019,19.509,0.019,19.521,0.023,19.558,0.067,0.049,47.520
11.9768,24.1647,004755.37+241033.30,22,18.055,0.017,17.943,0.014,18.260,0.014,18.521,0.013,18.810,0.036,0.044,6.300
13.0938,25.1713,005225.08+251236.97,19,19.082,0.028,18.794,0.013,19.091,0.016,19.332,0.021,19.557,0.060,0.044,44.400
13.0052,24.7716,005155.00+244913.06,12,19.248,0.026,18.966,0.015,19.218,0.019,19.484,0.020,19.699,0.077,0.050,22.200
13.7039,25.0654,005456.13+250634.13,19,19.203,0.030,19.017,0.019,19.303,0.021,19.567,0.022,19.707,0.078,0.047,8.000
342.9183,23.8476,225335.67+244557.68,11,20.182,0.053,19.765,0.024,19.597,0.023,19.575,0.030,19.536,0.090,0.227,10.770
